index,category,name,slug,keyword_primary,keyword_longtail,keyword_question,keyword_local,search_volume,difficulty,cpc
1,Finance,Loan Calculator,loan-calculator,loan calculator,personal loan emi calculator monthly,how to calculate loan interest rate,home loan calculator 2024,165000,45,$2.50
2,Finance,Mortgage Calculator,mortgage-calculator,mortgage calculator,mortgage payment calculator with taxes insurance,how much house can i afford,mortgage calculator with extra payments,450000,65,$4.20
3,Finance,Car Loan Calculator,car-loan-calculator,car loan calculator,auto loan calculator with down payment,how to calculate car loan emi,car finance calculator 0 apr,110000,40,$3.10
4,Finance,Credit Card Interest,credit-card-interest-calculator,credit card interest calculator,credit card minimum payment calculator,how is credit card interest calculated daily,credit card payoff calculator,89000,35,$2.80
5,Finance,Compound Interest,compound-interest-calculator,compound interest calculator,compound interest calculator daily monthly yearly,what is compound interest formula,compound interest calculator with deposits,246000,30,$1.90
6,Finance,Savings Goal,savings-goal-calculator,savings goal calculator,savings goal calculator monthly,how much to save for retirement,savings calculator by age,67000,25,$1.50
7,Finance,Retirement Calculator,retirement-calculator,retirement calculator,retirement planning calculator by age,how much do i need to retire at 60,401k retirement calculator,198000,55,$3.70
8,Finance,401k Calculator,401k-calculator,401k calculator,401k calculator with employer match,how much should i contribute to 401k,401k growth calculator,156000,50,$3.30
9,Finance,Roth IRA Calculator,roth-ira-calculator,roth ira calculator,roth ira vs traditional ira calculator,should i do roth or traditional ira,roth ira calculator vanguard,98000,45,$3.00
10,Finance,Tax Calculator,tax-calculator,tax calculator,income tax calculator 2024,how much tax will i pay,tax refund calculator,890000,60,$2.20